               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023311,            0.019163,           0.0028671,             0.83989,             0.76259,             0.82442,             0.57971,            0.032445,            0.068436,           0.0089455,            0.070158,           0.0033158,           0.0033158
                   1,            0.024749,            0.019321,           0.0030179,             0.82811,             0.76141,              0.8159,             0.55752,            0.031831,             0.06945,           0.0092262,            0.039914,           0.0064053,           0.0064053
                   2,            0.025236,            0.020628,           0.0039308,             0.81124,             0.70954,             0.78121,             0.53088,            0.032853,            0.071253,            0.011566,           0.0094258,           0.0092504,           0.0092504
                   3,            0.026124,            0.023533,           0.0062177,             0.78354,             0.68916,             0.76465,             0.50952,            0.032757,             0.06946,            0.012409,              0.0089,              0.0089,              0.0089
                   4,            0.026415,             0.02423,           0.0064273,             0.79355,             0.70945,             0.77772,             0.52007,            0.031609,            0.066027,             0.01157,              0.0089,              0.0089,              0.0089
                   5,            0.025997,            0.023964,           0.0061914,             0.80136,             0.70953,             0.78142,             0.53336,            0.031334,            0.069213,            0.012357,           0.0085333,           0.0085333,           0.0085333
                   6,            0.025695,             0.02357,           0.0059827,             0.79433,             0.69897,             0.77352,             0.52613,             0.03118,            0.066746,            0.012407,           0.0081667,           0.0081667,           0.0081667
                   7,            0.025144,            0.023004,           0.0056441,             0.79003,             0.73248,             0.79063,             0.54508,            0.030734,            0.066633,            0.010944,              0.0078,              0.0078,              0.0078
                   8,            0.024754,            0.022565,           0.0051716,             0.80846,             0.72041,             0.79168,             0.54754,            0.030567,            0.068982,             0.01105,           0.0074333,           0.0074333,           0.0074333
                   9,            0.024308,            0.022445,           0.0048755,             0.81736,             0.73381,             0.80431,               0.565,             0.02974,            0.063866,            0.010275,           0.0070667,           0.0070667,           0.0070667
                  10,             0.02389,            0.022125,           0.0046095,             0.82284,             0.73415,              0.8071,             0.56682,            0.029812,             0.06592,            0.010035,              0.0067,              0.0067,              0.0067
                  11,            0.023524,            0.021373,           0.0043827,              0.8192,             0.73472,             0.80458,             0.56686,            0.029594,            0.065947,            0.010251,           0.0063333,           0.0063333,           0.0063333
                  12,            0.023353,            0.021427,           0.0042755,             0.81136,             0.74163,              0.8076,             0.57361,            0.029269,            0.066001,            0.010135,           0.0059667,           0.0059667,           0.0059667
                  13,            0.022786,            0.020877,           0.0040723,             0.82412,             0.74089,             0.81063,             0.57925,            0.028749,            0.064471,           0.0099152,              0.0056,              0.0056,              0.0056
                  14,            0.022537,            0.020663,           0.0038892,             0.81597,             0.74772,             0.81148,             0.58014,            0.028771,            0.065808,           0.0099803,           0.0052333,           0.0052333,           0.0052333
                  15,            0.022234,            0.020507,             0.00373,             0.82315,             0.72323,              0.7999,             0.56837,            0.029224,            0.069664,            0.010894,           0.0048667,           0.0048667,           0.0048667
                  16,            0.021777,            0.019912,           0.0034526,             0.82067,             0.75708,             0.81626,             0.58739,             0.02867,             0.06699,           0.0098323,              0.0045,              0.0045,              0.0045
                  17,            0.021502,            0.019892,           0.0032842,             0.81857,             0.76714,             0.82181,             0.59223,             0.02837,            0.066485,           0.0094572,           0.0041333,           0.0041333,           0.0041333
                  18,             0.02114,            0.019093,           0.0031545,             0.83146,             0.75466,              0.8219,             0.59442,            0.028275,            0.066923,           0.0097261,           0.0037667,           0.0037667,           0.0037667
                  19,             0.02078,            0.018921,           0.0029827,             0.82773,             0.75658,             0.81887,             0.59311,            0.028259,            0.067105,            0.010093,              0.0034,              0.0034,              0.0034
                  20,            0.020483,            0.019011,            0.002953,             0.83178,             0.75834,             0.82037,             0.59644,            0.028098,            0.068422,            0.009487,           0.0030333,           0.0030333,           0.0030333
                  21,            0.020137,            0.018658,            0.002662,             0.83226,             0.76028,              0.8198,             0.60003,             0.02795,            0.068882,           0.0097048,           0.0026667,           0.0026667,           0.0026667
                  22,             0.01989,            0.018327,           0.0026773,             0.84095,             0.75025,             0.82084,              0.6004,            0.028005,            0.068839,           0.0097218,              0.0023,              0.0023,              0.0023
                  23,            0.019437,            0.018077,           0.0024575,              0.8288,             0.76532,             0.82428,             0.60425,            0.027846,            0.069806,           0.0095232,           0.0019333,           0.0019333,           0.0019333
                  24,            0.019044,            0.017543,           0.0023339,             0.83766,             0.76444,             0.82599,              0.6075,            0.027812,            0.068566,           0.0096179,           0.0015667,           0.0015667,           0.0015667
                  25,             0.01873,            0.017231,           0.0023034,             0.83643,             0.76184,             0.82665,             0.60939,            0.027745,            0.069176,           0.0095732,              0.0012,              0.0012,              0.0012
                  26,            0.018481,            0.017025,           0.0021632,             0.84082,             0.75576,              0.8247,              0.6096,            0.027827,            0.071226,           0.0097847,          0.00083333,          0.00083333,          0.00083333
